"DexNumber","Name","Form","Type1","Type2","HP","Attack","Defense","SpAttack","SpDefense","Speed","Ability1","Ability2","HiddenAbility","Weight","Height","ApiId","Moves"
"663","talonflame","","fire","flying","78","81","71","74","69","126","flame-body","gale-wings","","245","12","663","protect,tailwind,flare-blitz,brave-bird,acrobatics,rain-dance,will-o-wisp,aerial-ace,agility,air-cutter,air-slash,blaze-kick,bulk-up,defog,double-edge,dual-wingbeat,endure,facade,feather-dance,feint,fire-blast,fire-spin,flail,flame-charge,flamethrower,fly,giga-impact,heat-wave,hurricane,hyper-beam,overheat,quick-attack,quick-guard,rest,roost,round,sky-attack,sleep-talk,snore,solar-beam,steel-wing,substitute,sunny-day,swords-dance,taunt,temper-flare,thief,u-turn,upper-hand,whirlwind"
"666","vivillon","","bug","flying","80","52","50","90","50","89","shield-dust","compound-eyes","friend-guard","170","12","666","acrobatics,air-cutter,air-slash,bug-bite,bug-buzz,calm-mind,confuse-ray,draining-kiss,endure,energy-ball,facade,giga-drain,giga-impact,hurricane,hyper-beam,iron-defense,light-screen,poison-powder,pollen-puff,pounce,protect,psychic,quiver-dance,rage-powder,rain-dance,rest,round,safeguard,skitter-smack,sleep-powder,sleep-talk,snore,solar-beam,string-shot,struggle-bug,stun-spore,substitute,sunny-day,tailwind,thief,u-turn,weather-ball,whirlwind"
"670","floette-eternal","eternal","fairy","","74","65","67","125","128","92","flower-veil","symbiosis","","9","2","10061","after-you,ally-switch,aromatherapy,attract,calm-mind,confide,covet,dazzling-gleam,double-team,echoed-voice,endeavor,energy-ball,facade,fairy-wind,flash,frustration,giga-drain,grass-knot,grassy-terrain,heal-bell,helping-hand,hidden-power,light-of-ruin,lucky-chant,magic-coat,magical-leaf,misty-terrain,moonblast,nature-power,petal-blizzard,petal-dance,protect,psychic,rain-dance,razor-leaf,rest,return,round,safeguard,secret-power,seed-bomb,sleep-talk,snore,solar-beam,substitute,sunny-day,swagger,synthesis,tackle,toxic,vine-whip,wish,worry-seed"
"671","florges","","fairy","","78","65","68","112","154","75","flower-veil","symbiosis","","100","11","671","alluring-voice,baton-pass,calm-mind,charm,chilling-water,copycat,dazzling-gleam,draining-kiss,endeavor,endure,energy-ball,facade,giga-drain,giga-impact,grass-knot,grassy-glide,grassy-terrain,helping-hand,hyper-beam,light-screen,misty-explosion,misty-terrain,moonblast,petal-blizzard,petal-dance,pollen-puff,protect,psychic,psychic-noise,rain-dance,rest,round,safeguard,seed-bomb,skill-swap,sleep-talk,snore,solar-beam,stored-power,substitute,sunny-day,synthesis,tearful-look,trailblaze,trick,wish"
"675","pangoro","","fighting","dark","95","124","78","69","71","58","iron-fist","mold-breaker","scrappy","1360","21","675","attract,beat-up,body-slam,brick-break,brutal-swing,bulk-up,bulldoze,bullet-punch,circle-throw,close-combat,coaching,comeuppance,crunch,dark-pulse,darkest-lariat,detect,dig,dragon-claw,drain-punch,earthquake,endure,entrainment,facade,fire-punch,fling,focus-blast,focus-energy,foul-play,giga-impact,grass-knot,gunk-shot,hammer-arm,headlong-rush,helping-hand,hyper-beam,hyper-voice,ice-punch,iron-head,knock-off,lash-out,low-kick,low-sweep,mega-kick,night-slash,outrage,parting-shot,payback,poison-jab,power-trip,protect,quash,quick-guard,rain-dance,rest,reversal,rock-slide,rock-tomb,round,scary-face,seismic-toss,shadow-claw,sleep-talk,sludge-bomb,snarl,snore,stomping-tantrum,stone-edge,storm-throw,substitute,sunny-day,superpower,surf,swords-dance,taunt,thief,throat-chop,thunder-punch,uproar,x-scissor,zen-headbutt"
"676","furfrou","","normal","","75","80","60","65","90","102","fur-coat","","","280","12","676","attract,baby-doll-eyes,bite,charm,cotton-guard,crunch,dark-pulse,dig,double-edge,endeavor,endure,facade,fire-fang,giga-impact,grass-knot,helping-hand,hyper-voice,ice-fang,iron-tail,last-resort,protect,psychic-fangs,rain-dance,rest,roar,round,sleep-talk,snarl,snore,substitute,sucker-punch,sunny-day,surf,thunder-fang,thunder-wave,trailblaze,u-turn,uproar,wild-charge,zen-headbutt"
"678","meowstic-male","male","psychic","","74","48","76","83","81","104","keen-eye","infiltrator","prankster","85","6","678","alluring-voice,baton-pass,calm-mind,charge-beam,charm,covet,dark-pulse,dig,endure,energy-ball,expanding-force,facade,fake-out,fake-tears,giga-impact,gravity,helping-hand,hyper-beam,imprison,iron-tail,light-screen,magic-room,mean-look,misty-terrain,nasty-plot,payback,play-rough,protect,psych-up,psychic,psychic-noise,psychic-terrain,psyshock,quick-guard,rain-dance,reflect,rest,role-play,round,safeguard,shadow-ball,skill-swap,sleep-talk,snore,stored-power,substitute,sucker-punch,sunny-day,tail-slap,thunder-wave,thunderbolt,tickle,trailblaze,trick,trick-room,wish,wonder-room,yawn,zen-headbutt"
"678","meowstic-female","female","psychic","","74","48","76","83","81","104","keen-eye","infiltrator","competitive","85","6","10025","alluring-voice,baton-pass,calm-mind,charge-beam,charm,covet,dark-pulse,dig,endure,energy-ball,expanding-force,extrasensory,facade,fake-out,fake-tears,future-sight,giga-impact,gravity,helping-hand,hyper-beam,iron-tail,light-screen,magic-room,nasty-plot,payback,play-rough,protect,psych-up,psychic,psychic-noise,psychic-terrain,psyshock,rain-dance,reflect,rest,role-play,round,safeguard,shadow-ball,skill-swap,sleep-talk,snore,stored-power,substitute,sucker-punch,sunny-day,tail-slap,thunder-wave,thunderbolt,tickle,trailblaze,trick,trick-room,wonder-room,yawn,zen-headbutt"
"681","aegislash","","steel","ghost","60","50","140","50","140","60","stance-change","","","530","17","681","flash-cannon,shadow-ball,iron-head,poltergeist,shadow-sneak,wide-guard,substitute,aerial-ace,air-slash,attract,block,brick-break,brutal-swing,close-combat,destiny-bond,double-hit,endure,facade,giga-impact,gyro-ball,head-smash,hyper-beam,iron-defense,kings-shield,metal-sound,night-slash,power-trick,protect,psycho-cut,rain-dance,reflect,rest,reversal,rock-slide,round,sacred-sword,screech,shadow-claw,sleep-talk,snore,solar-blade,steel-beam,sunny-day,swords-dance,zen-headbutt"
"683","aromatisse","","fairy","","101","72","72","99","89","29","healer","aroma-veil","","155","8","683","after-you,alluring-voice,ally-switch,aromatic-mist,attract,calm-mind,charm,dazzling-gleam,disable,drain-punch,draining-kiss,encore,endure,energy-ball,facade,fake-tears,flail,flash-cannon,giga-impact,gyro-ball,heal-pulse,helping-hand,hyper-beam,hypnosis,light-screen,misty-explosion,misty-terrain,moonblast,nasty-plot,protect,psych-up,psychic,psyshock,rain-dance,reflect,rest,round,skill-swap,sleep-talk,snore,substitute,sunny-day,sweet-kiss,sweet-scent,thunder,thunderbolt,trick-room,wish"
"685","slurpuff","","fairy","","82","80","86","85","75","72","sweet-veil","unburden","","50","8","685","after-you,amnesia,attract,calm-mind,charm,copycat,cotton-guard,cotton-spore,dazzling-gleam,drain-punch,draining-kiss,endeavor,endure,energy-ball,facade,fake-tears,flamethrower,giga-impact,helping-hand,hyper-beam,light-screen,misty-explosion,play-rough,protect,psychic,rain-dance,rest,round,safeguard,sleep-talk,snore,sticky-web,string-shot,substitute,sunny-day,surf,sweet-scent,thief,thunder,thunderbolt,wish,yawn"
"693","clawitzer","","water","","71","73","88","120","89","59","mega-launcher","","","353","13","693","aqua-jet,aqua-tail,aura-sphere,blizzard,body-slam,bounce,chilling-water,crabhammer,dark-pulse,dive,dragon-pulse,endure,entrainment,facade,flail,flash-cannon,flip-turn,focus-blast,giga-impact,heal-pulse,helping-hand,hydro-pump,hyper-beam,ice-beam,icy-wind,liquidation,mud-shot,mud-slap,muddy-water,pounce,protect,rain-dance,rest,rock-slide,round,scary-face,shadow-ball,sleep-talk,sludge-bomb,sludge-wave,smack-down,snore,substitute,surf,swords-dance,terrain-pulse,thief,u-turn,venoshock,water-pulse"
"695","heliolisk","","electric","normal","62","55","52","109","94","109","dry-skin","sand-veil","solar-power","210","10","695","agility,ally-switch,attract,breaking-swipe,brutal-swing,bulldoze,charge,charge-beam,dark-pulse,dig,discharge,dragon-pulse,dragon-rush,dragon-tail,eerie-impulse,electric-terrain,electrify,electro-ball,electroweb,endure,facade,fire-punch,focus-blast,giga-impact,glare,grass-knot,hyper-beam,hyper-voice,iron-tail,light-screen,low-kick,low-sweep,mega-kick,morning-sun,mud-slap,parabolic-charge,pounce,protect,quick-attack,rain-dance,rest,rising-voltage,rock-slide,rock-tomb,round,sandstorm,scale-shot,shed-tail,sleep-talk,snore,solar-beam,substitute,sunny-day,surf,thunder,thunder-punch,thunder-wave,thunderbolt,trailblaze,u-turn,volt-switch,weather-ball,wild-charge"
"697","tyrantrum","","rock","dragon","82","121","119","69","59","71","strong-jaw","rock-head","","2700","25","697","ancient-power,assurance,attract,bite,body-slam,breaking-swipe,brick-break,brutal-swing,bulldoze,charm,close-combat,crunch,curse,dark-pulse,dig,draco-meteor,dragon-cheer,dragon-claw,dragon-dance,dragon-pulse,dragon-tail,earth-power,earthquake,endure,facade,fire-fang,giga-impact,head-smash,high-horsepower,horn-drill,hyper-beam,hyper-voice,ice-fang,iron-defense,iron-head,iron-tail,lash-out,meteor-beam,outrage,play-rough,poison-fang,protect,psychic-fangs,rest,roar,rock-blast,rock-polish,rock-slide,rock-tomb,round,sandstorm,scale-shot,scary-face,sleep-talk,snore,stealth-rock,stomping-tantrum,stone-edge,substitute,sunny-day,superpower,thrash,thunder-fang,zen-headbutt"
"699","aurorus","","rock","ice","123","77","72","99","92","58","refrigerate","snow-warning","","2250","27","699","ancient-power,attract,aurora-veil,avalanche,blizzard,body-slam,bulldoze,calm-mind,chilling-water,dark-pulse,discharge,earth-power,earthquake,encore,endure,facade,flash-cannon,freeze-dry,giga-impact,haze,hyper-beam,hyper-voice,ice-beam,ice-spinner,icicle-spear,icy-wind,iron-defense,iron-head,iron-tail,light-screen,meteor-beam,mirror-coat,mud-shot,outrage,protect,psychic,rain-dance,reflect,rest,rock-blast,rock-slide,rock-tomb,round,safeguard,sandstorm,sleep-talk,snore,snowscape,stealth-rock,stone-edge,substitute,thunder,thunder-wave,thunderbolt,weather-ball,zen-headbutt"
"700","sylveon","","fairy","","95","65","65","110","130","60","cute-charm","pixilate","","235","10","700","hyper-voice,protect,quick-attack,shadow-ball,calm-mind,detect,yawn,alluring-voice,baby-doll-eyes,baton-pass,bite,body-slam,charm,copycat,covet,curse,dazzling-gleam,dig,double-edge,draining-kiss,endure,facade,fake-tears,flail,focus-energy,giga-impact,helping-hand,hyper-beam,last-resort,light-screen,misty-explosion,misty-terrain,moonblast,mud-slap,mystical-fire,play-rough,psych-up,psychic,psyshock,rain-dance,reflect,rest,roar,round,safeguard,skill-swap,sleep-talk,snore,stored-power,substitute,sunny-day,tickle,trailblaze,weather-ball,wish"
"701","hawlucha","","fighting","flying","78","92","75","74","63","118","limber","unburden","mold-breaker","215","8","701","dual-wingbeat,entrainment,flying-press,protect,acrobatics,aerial-ace,agility,air-slash,assurance,baton-pass,body-press,body-slam,bounce,brave-bird,brick-break,bulk-up,close-combat,coaching,cross-chop,defog,detect,dig,drain-punch,encore,endeavor,endure,facade,feather-dance,feint,fire-punch,fling,fly,focus-blast,focus-punch,giga-impact,grass-knot,helping-hand,high-jump-kick,hyper-beam,iron-head,low-kick,low-sweep,lunge,mean-look,mega-kick,payback,poison-jab,quick-guard,rain-dance,rest,reversal,rock-slide,rock-tomb,roost,round,sky-attack,sleep-talk,snore,steel-wing,stone-edge,substitute,sunny-day,superpower,swords-dance,taunt,thief,throat-chop,thunder-punch,trailblaze,u-turn,upper-hand,uproar,x-scissor,zen-headbutt"
"702","dedenne","","electric","fairy","67","58","57","81","67","101","cheek-pouch","pickup","plus","22","2","702","agility,charge,charge-beam,charm,covet,dazzling-gleam,dig,discharge,draining-kiss,eerie-impulse,electric-terrain,electro-ball,electroweb,endeavor,endure,entrainment,facade,fling,giga-impact,grass-knot,helping-hand,hyper-beam,iron-tail,light-screen,magnet-rise,misty-terrain,nuzzle,parabolic-charge,play-rough,protect,rain-dance,rest,rising-voltage,round,seed-bomb,sleep-talk,snore,substitute,sunny-day,super-fang,tearful-look,thief,thunder,thunder-punch,thunder-wave,thunderbolt,trailblaze,u-turn,volt-switch,wild-charge"
"706","goodra","","dragon","","90","100","70","110","150","80","sap-sipper","hydration","gooey","1505","20","706","acid-armor,acid-spray,aqua-tail,assurance,blizzard,body-press,body-slam,breaking-swipe,brutal-swing,bulldoze,charm,chilling-water,counter,curse,draco-meteor,dragon-cheer,dragon-claw,dragon-pulse,dragon-tail,earthquake,endure,facade,feint,fire-blast,fire-punch,flail,flamethrower,focus-blast,focus-punch,giga-drain,giga-impact,hydro-pump,hyper-beam,ice-beam,iron-tail,knock-off,life-dew,mega-kick,mud-shot,muddy-water,outrage,power-whip,protect,rain-dance,rest,rock-slide,round,scald,skitter-smack,sleep-talk,sludge-bomb,sludge-wave,snore,stomping-tantrum,substitute,sunny-day,superpower,surf,tearful-look,thunder,thunder-punch,thunderbolt,toxic,water-pulse,weather-ball"
"706","goodra-hisui","hisui","steel","dragon","80","100","100","110","150","60","sap-sipper","shell-armor","gooey","3341","17","10242","acid-spray,ancient-power,blizzard,body-press,body-slam,breaking-swipe,bulldoze,charm,chilling-water,counter,curse,draco-meteor,dragon-cheer,dragon-claw,dragon-pulse,dragon-tail,earthquake,endure,facade,feint,fire-blast,fire-punch,flail,flamethrower,flash-cannon,giga-impact,gyro-ball,heavy-slam,hydro-pump,hyper-beam,ice-beam,ice-spinner,iron-head,iron-tail,knock-off,lash-out,life-dew,mud-shot,muddy-water,outrage,protect,rain-dance,rest,rock-slide,rock-tomb,sandstorm,scary-face,shelter,skitter-smack,sleep-talk,sludge-bomb,sludge-wave,steel-beam,stomping-tantrum,substitute,sunny-day,surf,tearful-look,thunder,thunder-punch,thunderbolt,water-pulse,weather-ball"
"707","klefki","","steel","fairy","57","80","91","80","87","75","prankster","magician","","30","2","707","dazzling-gleam,light-screen,rain-dance,reflect,sunny-day,thunder-wave,calm-mind,draining-kiss,endure,facade,fairy-lock,flash-cannon,foul-play,future-sight,giga-impact,hyper-beam,imprison,iron-defense,last-resort,magic-room,magnet-rise,metal-sound,misty-terrain,play-rough,protect,psych-up,psychic,psyshock,recycle,rest,round,safeguard,sandstorm,skitter-smack,sleep-talk,snore,spikes,steel-beam,stored-power,substitute,switcheroo,thief,torment,trick-room"
"709","trevenant","","ghost","grass","85","110","76","65","82","56","natural-cure","frisk","harvest","710","15","709","ally-switch,brutal-swing,bulldoze,burning-jealousy,calm-mind,confuse-ray,curse,dark-pulse,destiny-bond,dig,disable,drain-punch,earthquake,endure,energy-ball,facade,focus-blast,forests-curse,foul-play,giga-drain,giga-impact,grass-knot,grassy-glide,grassy-terrain,growth,haze,hex,horn-leech,hyper-beam,imprison,ingrain,knock-off,lash-out,leaf-storm,leech-seed,night-shade,pain-split,phantom-force,poison-jab,poltergeist,protect,psych-up,psychic,psychic-noise,rain-dance,reflect,rest,rock-slide,round,safeguard,scary-face,seed-bomb,shadow-ball,shadow-claw,shadow-punch,skill-swap,skitter-smack,sleep-talk,snore,solar-beam,spite,substitute,sucker-punch,sunny-day,swagger,thief,toxic,trailblaze,trick,trick-room,will-o-wisp,wood-hammer,x-scissor"
"711","gourgeist","","ghost","grass","65","90","122","58","75","84","pickup","frisk","insomnia","125","9","711","ally-switch,attract,brutal-swing,bullet-seed,confuse-ray,curse,dark-pulse,destiny-bond,disable,endure,energy-ball,explosion,facade,fire-blast,flamethrower,focus-blast,foul-play,giga-drain,giga-impact,grass-knot,grassy-glide,gyro-ball,hex,hyper-beam,hypnosis,imprison,leech-seed,light-screen,moonblast,mystical-fire,nasty-plot,pain-split,phantom-force,poltergeist,power-whip,protect,psychic,rest,rock-slide,round,safeguard,scary-face,seed-bomb,self-destruct,shadow-ball,shadow-sneak,skill-swap,skitter-smack,sleep-talk,sludge-bomb,snore,solar-beam,substitute,sunny-day,thief,trick,trick-room,trick-or-treat,will-o-wisp,worry-seed"
"711","gourgeist-large","large","ghost","grass","55","85","122","58","75","99","pickup","frisk","insomnia","140","11","10031","ally-switch,astonish,attract,brutal-swing,bullet-seed,charge-beam,confide,confuse-ray,dark-pulse,double-team,dream-eater,endure,energy-ball,explosion,facade,fire-blast,flame-charge,flamethrower,flash,focus-blast,foul-play,frustration,giga-drain,giga-impact,grass-knot,grassy-glide,gyro-ball,hex,hidden-power,hyper-beam,imprison,incinerate,leech-seed,light-screen,magic-coat,moonblast,mystical-fire,nasty-plot,nature-power,pain-split,phantom-force,poltergeist,power-whip,protect,psychic,razor-leaf,rest,return,rock-slide,rock-smash,role-play,round,safeguard,scary-face,secret-power,seed-bomb,shadow-ball,shadow-sneak,skill-swap,skitter-smack,sleep-talk,sludge-bomb,snore,solar-beam,spite,substitute,sunny-day,swagger,synthesis,telekinesis,thief,toxic,trick,trick-room,trick-or-treat,will-o-wisp,worry-seed"
"711","gourgeist-small","small","ghost","grass","75","95","122","58","75","69","pickup","frisk","insomnia","95","7","10030","ally-switch,astonish,attract,brutal-swing,bullet-seed,charge-beam,confide,confuse-ray,dark-pulse,double-team,dream-eater,endure,energy-ball,explosion,facade,fire-blast,flame-charge,flamethrower,flash,focus-blast,foul-play,frustration,giga-drain,giga-impact,grass-knot,grassy-glide,gyro-ball,hex,hidden-power,hyper-beam,imprison,incinerate,leech-seed,light-screen,magic-coat,moonblast,mystical-fire,nasty-plot,nature-power,pain-split,phantom-force,poltergeist,power-whip,protect,psychic,razor-leaf,rest,return,rock-slide,rock-smash,role-play,round,safeguard,scary-face,secret-power,seed-bomb,shadow-ball,shadow-sneak,skill-swap,skitter-smack,sleep-talk,sludge-bomb,snore,solar-beam,spite,substitute,sunny-day,swagger,synthesis,telekinesis,thief,toxic,trick,trick-room,trick-or-treat,will-o-wisp,worry-seed"
"711","gourgeist-super","super","ghost","grass","85","100","122","58","75","54","pickup","frisk","insomnia","390","17","10032","ally-switch,astonish,attract,brutal-swing,bullet-seed,charge-beam,confide,confuse-ray,dark-pulse,double-team,dream-eater,endure,energy-ball,explosion,facade,fire-blast,flame-charge,flamethrower,flash,focus-blast,foul-play,frustration,giga-drain,giga-impact,grass-knot,grassy-glide,gyro-ball,hex,hidden-power,hyper-beam,imprison,incinerate,leech-seed,light-screen,magic-coat,moonblast,mystical-fire,nasty-plot,nature-power,pain-split,phantom-force,poltergeist,power-whip,protect,psychic,razor-leaf,rest,return,rock-slide,rock-smash,role-play,round,safeguard,scary-face,secret-power,seed-bomb,shadow-ball,shadow-sneak,skill-swap,skitter-smack,sleep-talk,sludge-bomb,snore,solar-beam,spite,substitute,sunny-day,swagger,synthesis,telekinesis,thief,toxic,trick,trick-room,trick-or-treat,will-o-wisp,worry-seed"
"713","avalugg","","ice","","95","117","184","44","46","28","own-tempo","ice-body","sturdy","5050","20","713","aurora-veil,avalanche,bite,blizzard,body-press,body-slam,bulldoze,chilling-water,crunch,curse,double-edge,earthquake,endure,facade,flash-cannon,frost-breath,giga-impact,gyro-ball,heavy-slam,high-horsepower,hydro-pump,hyper-beam,ice-beam,ice-fang,ice-spinner,icicle-crash,icicle-spear,icy-wind,iron-defense,iron-head,mirror-coat,protect,rain-dance,rapid-spin,recover,rest,rock-slide,rock-tomb,round,scary-face,sleep-talk,snore,snowscape,stomping-tantrum,stone-edge,substitute,superpower,surf,wide-guard"
"713","avalugg-hisui","hisui","ice","rock","95","127","184","34","36","38","strong-jaw","ice-body","sturdy","2624","14","10243","ancient-power,aurora-veil,avalanche,bite,blizzard,body-press,body-slam,bulldoze,chilling-water,crunch,curse,dig,double-edge,earthquake,endure,facade,giga-impact,gyro-ball,hard-press,heavy-slam,high-horsepower,hyper-beam,ice-beam,ice-fang,ice-spinner,icicle-spear,icy-wind,iron-defense,iron-head,meteor-beam,mirror-coat,mountain-gale,protect,rain-dance,rapid-spin,recover,rest,rock-blast,rock-slide,rock-tomb,sandstorm,scary-face,sleep-talk,snowscape,stealth-rock,stomping-tantrum,stone-edge,substitute,wide-guard"
"715","noivern","","flying","dragon","85","70","80","97","80","123","frisk","infiltrator","telepathy","850","15","715","acrobatics,aerial-ace,agility,air-cutter,air-slash,bite,body-slam,boomburst,breaking-swipe,brick-break,dark-pulse,defog,double-team,double-edge,draco-meteor,dragon-cheer,dragon-claw,dragon-dance,dragon-pulse,dragon-rush,dual-wingbeat,endure,facade,flamethrower,fly,focus-blast,giga-impact,heat-wave,hurricane,hyper-beam,hyper-voice,iron-tail,leech-life,moonlight,outrage,protect,psychic,psychic-noise,rest,roost,round,scary-face,screech,shadow-ball,shadow-claw,sky-attack,sleep-talk,snore,solar-beam,steel-wing,substitute,sunny-day,super-fang,switcheroo,tailwind,taunt,thief,u-turn,uproar,water-pulse,whirlwind,wild-charge,x-scissor"
"724","decidueye","","grass","ghost","78","107","75","100","100","70","overgrow","long-reach","","366","16","724","acrobatics,aerial-ace,air-cutter,air-slash,baton-pass,brave-bird,bullet-seed,confuse-ray,curse,defog,double-team,dual-wingbeat,endure,energy-ball,facade,feather-dance,frenzy-plant,giga-drain,giga-impact,grass-knot,grassy-glide,grassy-terrain,haze,helping-hand,hex,hurricane,hyper-beam,imprison,knock-off,leaf-blade,leaf-storm,light-screen,low-kick,low-sweep,nasty-plot,night-shade,phantom-force,pluck,poltergeist,protect,psycho-cut,rain-dance,rest,roost,round,seed-bomb,shadow-ball,shadow-claw,shadow-sneak,skitter-smack,sleep-talk,smack-down,snore,solar-beam,solar-blade,spirit-shackle,spite,steel-wing,substitute,sucker-punch,sunny-day,swords-dance,synthesis,tailwind,trailblaze,u-turn"
"724","decidueye-hisui","hisui","grass","fighting","88","112","80","95","95","60","overgrow","scrappy","","370","16","10244","aerial-ace,air-cutter,air-slash,aura-sphere,baton-pass,brave-bird,brick-break,bulk-up,bullet-seed,close-combat,coaching,confuse-ray,defog,double-team,dual-wingbeat,endure,energy-ball,facade,feather-dance,focus-blast,focus-punch,frenzy-plant,giga-drain,giga-impact,grass-knot,grassy-glide,grassy-terrain,haze,helping-hand,hyper-beam,knock-off,leaf-blade,leaf-storm,light-screen,low-kick,low-sweep,nasty-plot,night-shade,pluck,protect,rain-dance,rest,reversal,rock-tomb,roost,round,scary-face,seed-bomb,shadow-claw,shadow-sneak,sleep-talk,smack-down,snore,solar-beam,steel-wing,substitute,sucker-punch,sunny-day,swords-dance,synthesis,tailwind,taunt,trailblaze,triple-arrows,u-turn,upper-hand"
"727","incineroar","","fire","dark","95","115","90","80","90","60","blaze","intimidate","","830","18","727","parting-shot,fake-out,flare-blitz,throat-chop,darkest-lariat,protect,helping-hand,snarl,will-o-wisp,assurance,close-combat,facade,low-kick,taunt,acrobatics,aerial-ace,attract,baton-pass,bite,blast-burn,blaze-kick,body-slam,brick-break,brutal-swing,bulk-up,bulldoze,burning-jealousy,cross-chop,crunch,dark-pulse,double-edge,drain-punch,earthquake,endeavor,endure,fire-blast,fire-fang,fire-punch,fire-spin,flame-charge,flamethrower,fling,focus-blast,focus-punch,giga-impact,heat-crash,heat-wave,hyper-beam,iron-head,lash-out,leech-life,low-sweep,mega-kick,nasty-plot,outrage,overheat,power-trip,rest,reversal,roar,round,scary-face,scorching-sands,shadow-claw,sleep-talk,snore,stomping-tantrum,substitute,sunny-day,superpower,swagger,swords-dance,temper-flare,thief,thrash,thunder-punch,trailblaze"
"730","primarina","","water","fairy","80","74","74","126","116","60","torrent","liquid-voice","","440","18","730","hyper-voice,protect,moonblast,calm-mind,dazzling-gleam,draining-kiss,icy-wind,life-dew,substitute,acrobatics,alluring-voice,amnesia,aqua-jet,aqua-ring,attract,baby-doll-eyes,blizzard,body-slam,charm,chilling-water,dive,encore,endure,energy-ball,facade,flip-turn,giga-impact,haze,helping-hand,hydro-cannon,hydro-pump,hyper-beam,ice-beam,ice-spinner,iron-tail,light-screen,liquidation,misty-explosion,misty-terrain,perish-song,play-rough,psych-up,psychic,psychic-noise,rain-dance,reflect,rest,round,shadow-ball,sing,sleep-talk,snore,snowscape,sparkling-aria,stored-power,surf,triple-axel,uproar,water-pulse,waterfall,weather-ball,whirlpool,wonder-room"
"733","toucannon","","normal","flying","80","120","75","75","75","60","keen-eye","skill-link","sheer-force","260","11","733","acrobatics,aerial-ace,air-cutter,air-slash,attract,beak-blast,boomburst,brave-bird,brick-break,bullet-seed,drill-peck,dual-wingbeat,encore,endeavor,endure,facade,feather-dance,flame-charge,flash-cannon,fly,giga-impact,gunk-shot,heat-wave,helping-hand,hurricane,hyper-beam,hyper-voice,knock-off,overheat,pluck,protect,psych-up,rest,rock-blast,roost,round,scary-face,screech,seed-bomb,sky-attack,sleep-talk,smack-down,snore,steel-wing,substitute,sunny-day,swords-dance,tailwind,temper-flare,thief,throat-chop,u-turn,uproar"
"740","crabominable","","fighting","ice","97","132","77","62","67","43","hyper-cutter","iron-fist","anger-point","1800","17","740","amnesia,avalanche,blizzard,body-press,body-slam,brick-break,brutal-swing,bulk-up,bulldoze,chilling-water,close-combat,coaching,crabhammer,dig,drain-punch,dynamic-punch,earthquake,endeavor,endure,facade,fling,focus-blast,focus-punch,giga-impact,gunk-shot,hard-press,helping-hand,hyper-beam,ice-beam,ice-hammer,ice-punch,ice-spinner,icicle-spear,icy-wind,iron-defense,iron-head,knock-off,liquidation,mach-punch,mud-shot,mud-slap,payback,protect,rain-dance,rest,reversal,rock-slide,rock-tomb,round,scary-face,sleep-talk,snore,snowscape,stomping-tantrum,substitute,sunny-day,superpower,swagger,thief,thunder-punch,upper-hand,wide-guard,zen-headbutt"
"745","lycanroc","","rock","","75","115","65","55","65","112","keen-eye","sand-rush","steadfast","250","8","745","accelerock,agility,assurance,bite,body-slam,brick-break,bulk-up,bulldoze,charm,close-combat,counter,crunch,crush-claw,dig,double-team,double-edge,drill-run,earth-power,endeavor,endure,facade,fire-fang,fire-punch,fling,focus-energy,focus-punch,foul-play,giga-impact,helping-hand,howl,hyper-voice,iron-defense,iron-head,iron-tail,knock-off,lash-out,last-resort,low-sweep,mega-kick,mud-slap,outrage,payback,play-rough,protect,psychic-fangs,quick-attack,quick-guard,rest,reversal,roar,rock-blast,rock-slide,rock-tomb,round,sandstorm,scary-face,shadow-claw,sleep-talk,snarl,snore,stealth-rock,stomping-tantrum,stone-edge,substitute,sucker-punch,sunny-day,swords-dance,tail-slap,taunt,thrash,throat-chop,thunder-fang,thunder-punch,trailblaze,upper-hand,uproar,zen-headbutt"
"745","lycanroc-dusk","dusk","rock","","85","115","75","55","75","82","keen-eye","vital-spirit","no-guard","250","8","10152","accelerock,bite,body-slam,brick-break,bulk-up,bulldoze,charm,close-combat,counter,crunch,crush-claw,dig,double-team,double-edge,drill-run,earth-power,endeavor,endure,facade,fire-fang,focus-energy,giga-impact,helping-hand,howl,hyper-voice,iron-defense,iron-head,iron-tail,last-resort,mud-slap,outrage,play-rough,protect,psychic-fangs,quick-attack,quick-guard,rest,reversal,roar,rock-blast,rock-slide,rock-tomb,round,sandstorm,scary-face,sleep-talk,snarl,snore,stealth-rock,stomping-tantrum,stone-edge,sucker-punch,swords-dance,tail-slap,taunt,thrash,throat-chop,thunder-fang,trailblaze,zen-headbutt"
