"Name","Type","Category","Power","Accuracy","PP","Priority","Effect","EffectChance","MinHits","MaxHits","Target","Contact","Sound","Punch","Bite","Pulse","Bullet","Slicing","Recoil"
"max-wyrmwind","dragon","physical","10","","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon-me-first","","","","","","","",""
"me-first","normal","status","","","20","0","Uses the target’s move against it before it attacks, with power increased by half.","","","","selected-pokemon-me-first","","","","","","","",""
"mean-look","normal","status","","","8","0","Prevents the target from leaving battle.","","","","selected-pokemon","","","","","","","",""
"meditate","psychic","status","","","20","0","Raises the user’s Attack by one stage.","","","","user","","","","","","","",""
"mega-drain","grass","special","40","100","16","0","Drains half the damage inflicted to heal the user.","","","","selected-pokemon","","","","","","","",""
"mega-kick","normal","physical","120","75","8","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"mega-punch","normal","physical","80","85","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"megahorn","bug","physical","120","85","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"memento","dark","status","","100","12","0","Lowers the target’s Attack and Special Attack by two stages.  User faints.","","","","selected-pokemon","","","","","","","",""
"menacing-moonraze-maelstrom","ghost","special","200","","1","0","Cannot be disrupted by abilities.","","","","selected-pokemon","","","","","","","",""
"metal-burst","steel","physical","","100","12","0","Strikes back at the last Pokémon to hit the user this turn with 1.5× the damage.","","","","specific-move","","","","","","","",""
"metal-claw","steel","physical","50","95","20","0","Has a $effect_chance% chance to raise the user’s Attack by one stage.","10","","","selected-pokemon","","","","","","","",""
"metal-sound","steel","status","","85","20","0","Lowers the target’s Special Defense by two stages.","","","","selected-pokemon","","","","","","","",""
"meteor-assault","fighting","physical","150","100","8","0","User foregoes its next turn to recharge.","","","","selected-pokemon","","","","","","","",""
"meteor-beam","rock","special","120","90","12","0","Inflicts regular damage with no additional effect.","100","","","selected-pokemon","","","","","","","",""
"meteor-mash","steel","physical","90","90","12","0","Has a $effect_chance% chance to raise the user’s Attack by one stage.","20","","","selected-pokemon","","","","","","","",""
"metronome","normal","status","","","12","0","Randomly selects and uses any move in the game.","","","","user","","","","","","","",""
"mighty-cleave","rock","physical","95","100","8","0","","","","","selected-pokemon","","","","","","","",""
"milk-drink","normal","status","","","8","0","Heals the user by half its max HP.","","","","user","","","","","","","",""
"mimic","normal","status","","","12","0","Copies the target’s last used move.","","","","selected-pokemon","","","","","","","",""
"mind-blown","fire","special","150","100","8","0","Inflicts damage, and the user takes damage equal to half of its max HP, rounded up.","","","","all-other-pokemon","","","","","","","",""
"mind-reader","normal","status","","","8","0","Ensures that the user’s next move will hit the target.","","","","selected-pokemon","","","","","","","",""
"minimize","normal","status","","","12","0","Raises the user’s evasion by two stages.","","","","user","","","","","","","",""
"miracle-eye","psychic","status","","","20","0","Forces the target to have no evasion, and allows it to be hit by Psychic moves even if it’s Dark.","","","","selected-pokemon","","","","","","","",""
"mirror-coat","psychic","special","","100","20","-5","Inflicts twice the damage the user received from the last special hit it took.","","","","specific-move","","","","","","","",""
"mirror-move","flying","status","","","20","0","Uses the target’s last used move.","","","","selected-pokemon","","","","","","","",""
"mirror-shot","steel","special","65","85","12","0","Has a $effect_chance% chance to lower the target’s accuracy by one stage.","30","","","selected-pokemon","","","","","","","",""
"mist","ice","status","","","20","0","Protects the user’s stats from being changed by enemy moves.","","","","users-field","","","","","","","",""
"mist-ball","psychic","special","95","100","8","0","Has a $effect_chance% chance to lower the target’s Special Attack by one stage.","50","","","selected-pokemon","","","","","","","",""
"misty-explosion","fairy","special","100","100","8","0","Inflicts regular damage with no additional effect.","","","","all-other-pokemon","","","","","","","",""
"misty-terrain","fairy","status","","","12","0","For five turns, protects all Pokémon on the ground from major status ailments and confusion, and halves the power of incoming dragon moves.","","","","entire-field","","","","","","","",""
"moonblast","fairy","special","95","100","16","0","Has a $effect_chance% chance to lower the target’s Special Attack by one stage.","30","","","selected-pokemon","","","","","","","",""
"moongeist-beam","ghost","special","100","100","8","0","Cannot be disrupted by abilities.","","","","selected-pokemon","","","","","","","",""
"moonlight","fairy","status","","","8","0","Heals the user by half its max HP.  Affected by weather.","","","","user","","","","","","","",""
"morning-sun","normal","status","","","8","0","Heals the user by half its max HP.  Affected by weather.","","","","user","","","","","","","",""
"mortal-spin","poison","physical","30","100","16","0","","","","","all-opponents","","","","","","","",""
"mountain-gale","ice","physical","120","85","12","0","","","","","selected-pokemon","","","","","","","",""
"mud-bomb","ground","special","65","85","12","0","Has a $effect_chance% chance to lower the target’s accuracy by one stage.","30","","","selected-pokemon","","","","","","","",""
"mud-shot","ground","special","55","95","16","0","Has a $effect_chance% chance to lower the target’s Speed by one stage.","100","","","selected-pokemon","","","","","","","",""
"mud-sport","ground","status","","","16","0","Halves all Electric-type damage.","","","","entire-field","","","","","","","",""
"mud-slap","ground","special","20","100","12","0","Has a $effect_chance% chance to lower the target’s accuracy by one stage.","100","","","selected-pokemon","","","","","","","",""
"muddy-water","water","special","90","85","12","0","Has a $effect_chance% chance to lower the target’s accuracy by one stage.","30","","","all-opponents","","","","","","","",""
"multi-attack","normal","physical","120","100","12","0","If the user is holding a appropriate plate or drive, the damage inflicted will match it.","","","","selected-pokemon","","","","","","","",""
"mystical-fire","fire","special","75","100","12","0","Has a $effect_chance% chance to lower the target’s Special Attack by one stage.","100","","","selected-pokemon","","","","","","","",""
"mystical-power","psychic","special","70","90","12","0","","","","","selected-pokemon","","","","","","","",""
"nasty-plot","dark","status","","","20","0","Raises the user’s Special Attack by two stages.","","","","user","","","","","","","",""
"natural-gift","normal","physical","","100","16","0","Power and type depend on the held berry.","","","","selected-pokemon","","","","","","","",""
"nature-power","normal","status","","","20","0","Uses a move which depends upon the terrain.","","","","selected-pokemon","","","","","","","",""
"natures-madness","fairy","special","","90","12","0","Inflicts damage equal to half the target’s HP.","","","","selected-pokemon","","","","","","","",""
"needle-arm","grass","physical","60","100","16","0","Has a $effect_chance% chance to make the target flinch.","30","","","selected-pokemon","","","","","","","",""
"never-ending-nightmare--special","ghost","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"never-ending-nightmare--physical","ghost","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"night-daze","dark","special","90","95","12","0","Has a $effect_chance% chance to lower the target’s accuracy by one stage.","40","","","selected-pokemon","","","","","","","",""
"night-shade","ghost","special","","100","16","0","Inflicts damage equal to the user’s level.","","","","selected-pokemon","","","","","","","",""
"night-slash","dark","physical","70","100","16","0","Has an increased chance for a critical hit.","","","","selected-pokemon","","","","","","","",""
"nightmare","ghost","status","","100","16","0","Target loses 1/4 its max HP every turn as long as it’s asleep.","","","","selected-pokemon","","","","","","","",""
"no-retreat","fighting","status","","","8","0","Hits twice in one turn, with a $effect_chance% chance to make the target flinch.","100","","","user","","","","","","","",""
"noble-roar","normal","status","","100","20","0","Lowers the target’s Attack and Special Attack by one stage.","100","","","selected-pokemon","","","","","","","",""
"noxious-torque","poison","physical","100","100","12","0","","","","","selected-pokemon","","","","","","","",""
"nuzzle","electric","physical","20","100","20","0","Has a $effect_chance% chance to paralyze the target.","100","","","selected-pokemon","","","","","","","",""
"oblivion-wing","flying","special","80","100","12","0","Drains 75% of the damage inflicted to heal the user.","","","","selected-pokemon","","","","","","","",""
"obstruct","dark","status","","100","12","4","","","","","user","","","","","","","",""
"oceanic-operetta","water","special","195","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"octazooka","water","special","65","85","12","0","Has a $effect_chance% chance to lower the target’s accuracy by one stage.","50","","","selected-pokemon","","","","","","","",""
"octolock","fighting","status","","100","16","0","","","","","selected-pokemon","","","","","","","",""
"odor-sleuth","normal","status","","","20","0","Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it’s a Ghost.","","","","selected-pokemon","","","","","","","",""
"ominous-wind","ghost","special","60","100","8","0","Has a $effect_chance% chance to raise all of the user’s stats by one stage.","10","","","selected-pokemon","","","","","","","",""
"order-up","dragon","physical","80","100","12","0","","","","","selected-pokemon","","","","","","","",""
"origin-pulse","water","special","110","85","12","0","Inflicts regular damage with no additional effect.","","","","all-opponents","","","","","","","",""
"outrage","dragon","physical","120","100","12","0","Hits every turn for 2-3 turns, then confuses the user.","","","","random-opponent","","","","","","","",""
"overdrive","electric","special","80","100","12","0","","","","","all-opponents","","","","","","","",""
"overheat","fire","special","130","90","8","0","Lowers the user’s Special Attack by two stages after inflicting damage.","100","","","selected-pokemon","","","","","","","",""
"pain-split","normal","status","","","20","0","Sets the user’s and targets’s HP to the average of their current HP.","","","","selected-pokemon","","","","","","","",""
"parabolic-charge","electric","special","65","100","20","0","Heals the user for half the total damage dealt to all targets.","","","","all-other-pokemon","","","","","","","",""
"parting-shot","dark","status","","100","20","0","Lowers all targets’ Attack and Special Attack by one stage.  Makes the user switch out.","100","","","selected-pokemon","","","","","","","",""
"pay-day","normal","physical","40","100","20","0","Scatters money on the ground worth five times the user’s level.","","","","selected-pokemon","","","","","","","",""
"payback","dark","physical","50","100","12","0","Power is doubled if the target has already moved this turn.","","","","selected-pokemon","","","","","","","",""
"peck","flying","physical","35","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"perish-song","normal","status","","","8","0","User and target both faint after three turns.","","","","all-pokemon","","","","","","","",""
"petal-blizzard","grass","physical","90","100","16","0","Inflicts regular damage.","","","","all-other-pokemon","","","","","","","",""
"petal-dance","grass","special","120","100","12","0","Hits every turn for 2-3 turns, then confuses the user.","","","","random-opponent","","","","","","","",""
"phantom-force","ghost","physical","90","100","12","0","User vanishes, dodging all attacks, and hits next turn.  Hits through Protect and Detect.","","","","selected-pokemon","","","","","","","",""
"photon-geyser","psychic","special","100","100","8","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"pika-papow","electric","special","","","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"pin-missile","bug","physical","25","95","20","0","Hits 2-5 times in one turn.","","2","5","selected-pokemon","","","","","","","",""
"plasma-fists","electric","physical","100","100","16","0","After inflicting damage, causes all Normal-type moves to become Electric-type for the remainder of the turn.","","","","selected-pokemon","","","","","","","",""
"play-nice","normal","status","","","20","0","Lowers the target’s Attack by one stage.","100","","","selected-pokemon","","","","","","","",""
"play-rough","fairy","physical","90","90","12","0","Has a $effect_chance% chance to lower the target’s Attack by one stage.","10","","","selected-pokemon","","","","","","","",""
"pluck","flying","physical","60","100","20","0","If target has a berry, inflicts double damage and uses the berry.","","","","selected-pokemon","","","","","","","",""
"poison-fang","poison","physical","50","100","16","0","Has a $effect_chance% chance to badly poison the target.","50","","","selected-pokemon","","","","","","","",""
"poison-gas","poison","status","","90","20","0","Poisons the target.","","","","all-opponents","","","","","","","",""
"poison-jab","poison","physical","80","100","20","0","Has a $effect_chance% chance to poison the target.","30","","","selected-pokemon","","","","","","","",""
"poison-powder","poison","status","","75","20","0","Poisons the target.","","","","selected-pokemon","","","","","","","",""
"poison-sting","poison","physical","15","100","20","0","Has a $effect_chance% chance to poison the target.","30","","","selected-pokemon","","","","","","","",""
"poison-tail","poison","physical","50","100","20","0","Has an increased chance for a critical hit and a $effect_chance% chance to poison the target.","10","","","selected-pokemon","","","","","","","",""
"pollen-puff","bug","special","90","100","16","0","Damages opponents, but heals allies for 50% of their max HP.","","","","selected-pokemon","","","","","","","",""
"poltergeist","ghost","physical","110","90","8","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"population-bomb","normal","physical","20","90","12","0","","","","","selected-pokemon","","","","","","","",""
"pounce","bug","physical","50","100","20","0","","","","","selected-pokemon","","","","","","","",""
"pound","normal","physical","40","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"powder","bug","status","","100","20","1","Explodes if the target uses a fire move this turn, damaging it for 1/4 its max HP and preventing the move.","","","","selected-pokemon","","","","","","","",""
"powder-snow","ice","special","40","100","20","0","Has a $effect_chance% chance to freeze the target.","10","","","all-opponents","","","","","","","",""
"power-gem","rock","special","80","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"power-shift","normal","status","0","","12","0","","","","","user","","","","","","","",""
"power-split","psychic","status","","","12","0","Averages Attack and Special Attack with the target.","","","","selected-pokemon","","","","","","","",""
"power-swap","psychic","status","","","12","0","User swaps Attack and Special Attack changes with the target.","","","","selected-pokemon","","","","","","","",""
"power-trick","psychic","status","","","12","0","User swaps Attack and Defense.","","","","user","","","","","","","",""
"power-trip","dark","physical","20","100","12","0","Power is higher the more the user’s stats have been raised, to a maximum of 31×.","","","","selected-pokemon","","","","","","","",""
"power-whip","grass","physical","120","85","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"power-up-punch","fighting","physical","40","100","20","0","Raises the user’s Attack by one stage after inflicting damage.","100","","","selected-pokemon","","","","","","","",""
"precipice-blades","ground","physical","120","85","12","0","Inflicts regular damage with no additional effect.","","","","all-opponents","","","","","","","",""
"present","normal","physical","","90","16","0","Randomly inflicts damage with power from 40 to 120 or heals the target for 1/4 its max HP.","","","","selected-pokemon","","","","","","","",""
"prismatic-laser","psychic","special","160","100","12","0","User foregoes its next turn to recharge.","","","","selected-pokemon","","","","","","","",""
"protect","normal","status","","","8","4","Prevents any moves from hitting the user this turn.","","","","user","","","","","","","",""
"psybeam","psychic","special","65","100","20","0","Has a $effect_chance% chance to confuse the target.","10","","","selected-pokemon","","","","","","","",""
"psyblade","psychic","physical","80","100","16","0","","","","","selected-pokemon","","","","","","","",""
"psych-up","normal","status","","","12","0","Discards the user’s stat changes and copies the target’s.","","","","selected-pokemon","","","","","","","",""
"psychic","psychic","special","90","100","12","0","Has a $effect_chance% chance to lower the target’s Special Defense by one stage.","10","","","selected-pokemon","","","","","","","",""
"psychic-fangs","psychic","physical","85","100","12","0","Destroys Reflect and Light Screen.","","","","selected-pokemon","","","","","","","",""
"psychic-noise","psychic","special","75","100","12","0","","","","","selected-pokemon","","","","","","","",""
"psychic-terrain","psychic","status","","","12","0","Protects Pokémon on the ground from priority moves and increases the power of their  Psychic moves by 50%.","","","","entire-field","","","","","","","",""
"psycho-boost","psychic","special","140","90","8","0","Lowers the user’s Special Attack by two stages after inflicting damage.","100","","","selected-pokemon","","","","","","","",""
"psycho-cut","psychic","physical","70","100","20","0","Has an increased chance for a critical hit.","","","","selected-pokemon","","","","","","","",""
"psycho-shift","psychic","status","","100","12","0","Transfers the user’s major status effect to the target.","","","","selected-pokemon","","","","","","","",""
"psyshield-bash","psychic","physical","90","90","12","0","","","","","selected-pokemon","","","","","","","",""
"psyshock","psychic","special","80","100","12","0","Inflicts damage based on the target’s Defense, not Special Defense.","","","","selected-pokemon","","","","","","","",""
"psystrike","psychic","special","100","100","12","0","Inflicts damage based on the target’s Defense, not Special Defense.","","","","selected-pokemon","","","","","","","",""
"psywave","psychic","special","","100","16","0","Inflicts damage between 50% and 150% of the user’s level.","","","","selected-pokemon","","","","","","","",""
"pulverizing-pancake","normal","physical","210","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"punishment","dark","physical","","100","8","0","Power increases against targets with more raised stats, up to a maximum of 200.","","","","selected-pokemon","","","","","","","",""
"purify","poison","status","","","20","0","Cures the target of a major status ailment and heals the user for 50% of its max HP.","","","","selected-pokemon","","","","","","","",""
"pursuit","dark","physical","40","100","20","0","Has double power against, and can hit, Pokémon attempting to switch out.","","","","selected-pokemon","","","","","","","",""
"pyro-ball","fire","physical","120","90","8","0","Has a $effect_chance% chance to burn the target.","10","","","selected-pokemon","","","","","","","",""
"quash","dark","status","","100","16","0","Makes the target act last this turn.","","","","selected-pokemon","","","","","","","",""
"quick-attack","normal","physical","40","100","20","1","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"quick-guard","fighting","status","","","16","3","Prevents any priority moves from hitting friendly Pokémon this turn.","","","","users-field","","","","","","","",""
"quiver-dance","bug","status","","","20","0","Raises the user’s Special Attack, Special Defense, and Speed by one stage each.","","","","user","","","","","","","",""
"rage","normal","physical","20","100","20","0","If the user is hit after using this move, its Attack rises by one stage.","","","","selected-pokemon","","","","","","","",""
"rage-fist","ghost","physical","50","100","12","0","","","","","selected-pokemon","","","","","","","",""
"rage-powder","bug","status","","","20","2","Redirects the target’s single-target effects to the user for this turn.","","","","user","","","","","","","",""
"raging-bull","normal","physical","90","100","12","0","","","","","selected-pokemon","","","","","","","",""
"raging-fury","fire","physical","120","100","12","0","","","","","random-opponent","","","","","","","",""
"rain-dance","water","status","","","8","0","Changes the weather to rain for five turns.","","","","entire-field","","","","","","","",""
"rapid-spin","normal","physical","50","100","20","0","Frees the user from binding moves, removes Leech Seed, and blows away Spikes.","100","","","selected-pokemon","","","","","","","",""
"razor-leaf","grass","physical","55","95","20","0","Has an increased chance for a critical hit.","","","","all-opponents","","","","","","","",""
"razor-shell","water","physical","75","95","12","0","Has a $effect_chance% chance to lower the target’s Defense by one stage.","50","","","selected-pokemon","","","","","","","",""
"razor-wind","normal","special","80","100","12","0","Requires a turn to charge before attacking.","","","","all-opponents","","","","","","","",""
"recover","normal","status","","","8","0","Heals the user by half its max HP.","","","","user","","","","","","","",""
"recycle","normal","status","","","12","0","User recovers the item it last used up.","","","","user","","","","","","","",""
"reflect","psychic","status","","","20","0","Reduces damage from physical attacks by half.","","","","users-field","","","","","","","",""
"reflect-type","normal","status","","","16","0","User becomes the target’s type.","","","","selected-pokemon","","","","","","","",""
"refresh","normal","status","","","20","0","Cleanses the user of a burn, paralysis, or poison.","","","","user","","","","","","","",""
"relic-song","normal","special","75","100","12","0","Has a $effect_chance% chance to put the target to sleep.","10","","","all-opponents","","","","","","","",""
"rest","psychic","status","","","8","0","User sleeps for two turns, completely healing itself.","","","","user","","","","","","","",""
"retaliate","normal","physical","70","100","8","0","Has double power if a friendly Pokémon fainted last turn.","","","","selected-pokemon","","","","","","","",""
"return","normal","physical","","100","20","0","Power increases with happiness, up to a maximum of 102.","","","","selected-pokemon","","","","","","","",""
"revelation-dance","normal","special","90","100","16","0","Has the same type as the user.","","","","selected-pokemon","","","","","","","",""
"revenge","fighting","physical","60","100","12","-4","Inflicts double damage if the user takes damage before attacking this turn.","","","","selected-pokemon","","","","","","","",""
"reversal","fighting","physical","","100","16","0","Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.","","","","selected-pokemon","","","","","","","",""
"revival-blessing","normal","status","0","","1","0","","","","","fainting-pokemon","","","","","","","",""
"rising-voltage","electric","special","70","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"roar","normal","status","","","20","-6","Immediately ends wild battles.  Forces trainers to switch Pokémon.","","","","selected-pokemon","","","","","","","",""
"roar-of-time","dragon","special","150","90","8","0","User foregoes its next turn to recharge.","","","","selected-pokemon","","","","","","","",""
"rock-blast","rock","physical","25","90","12","0","Hits 2-5 times in one turn.","","2","5","selected-pokemon","","","","","","","",""
"rock-climb","normal","physical","90","85","20","0","Has a $effect_chance% chance to confuse the target.","20","","","selected-pokemon","","","","","","","",""
"rock-polish","rock","status","","","20","0","Raises the user’s Speed by two stages.","","","","user","","","","","","","",""
"rock-slide","rock","physical","75","90","12","0","Has a $effect_chance% chance to make the target flinch.","30","","","all-opponents","","","","","","","",""
"rock-smash","fighting","physical","40","100","16","0","Has a $effect_chance% chance to lower the target’s Defense by one stage.","50","","","selected-pokemon","","","","","","","",""
"rock-throw","rock","physical","50","90","16","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"rock-tomb","rock","physical","60","95","16","0","Has a $effect_chance% chance to lower the target’s Speed by one stage.","100","","","selected-pokemon","","","","","","","",""
"rock-wrecker","rock","physical","150","90","8","0","User foregoes its next turn to recharge.","","","","selected-pokemon","","","","","","","",""
"role-play","psychic","status","","","12","0","Copies the target’s ability.","","","","selected-pokemon","","","","","","","",""
"rolling-kick","fighting","physical","60","85","16","0","Has a $effect_chance% chance to make the target flinch.","30","","","selected-pokemon","","","","","","","",""
"rollout","rock","physical","30","90","20","0","Power doubles every turn this move is used in succession after the first, resetting after five turns.","","","","selected-pokemon","","","","","","","",""
"roost","flying","status","","","8","0","Heals the user by half its max HP.","","","","user","","","","","","","",""
"rototiller","ground","status","","","12","0","Raises the Attack and Special Attack of all grass Pokémon in battle.","100","","","all-pokemon","","","","","","","",""
"round","normal","special","60","100","16","0","Has double power if it’s used more than once per turn.","","","","selected-pokemon","","","","","","","",""
"ruination","dark","special","1","90","12","0","","","","","selected-pokemon","","","","","","","",""
"sacred-fire","fire","physical","100","95","8","0","Has a $effect_chance% chance to burn the target.  Lets frozen Pokémon thaw themselves.","50","","","selected-pokemon","","","","","","","",""
"sacred-sword","fighting","physical","90","100","16","0","Ignores the target’s stat modifiers.","","","","selected-pokemon","","","","","","","",""
"safeguard","normal","status","","","20","0","Protects the user’s field from major status ailments and confusion for five turns.","","","","users-field","","","","","","","",""
"salt-cure","rock","physical","40","100","16","0","","","","","selected-pokemon","","","","","","","",""
"sand-attack","ground","status","","100","16","0","Lowers the target’s accuracy by one stage.","","","","selected-pokemon","","","","","","","",""
"sand-tomb","ground","physical","35","85","16","0","Prevents the target from fleeing and inflicts damage for 2-5 turns.","100","","","selected-pokemon","","","","","","","",""
"sandsear-storm","ground","special","100","80","12","0","","","","","all-opponents","","","","","","","",""
"sandstorm","rock","status","","","12","0","Changes the weather to a sandstorm for five turns.","","","","entire-field","","","","","","","",""
"sappy-seed","grass","physical","100","90","12","0","Inflicts regular damage with no additional effect.","100","","","selected-pokemon","","","","","","","",""
"savage-spin-out--special","bug","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"savage-spin-out--physical","bug","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"scald","water","special","80","100","16","0","Has a $effect_chance% chance to burn the target.","30","","","selected-pokemon","","","","","","","",""
"scale-shot","dragon","physical","25","90","20","0","Boosts the user’s Speed and lowers their Defense by one stage after inflicting damage two to five times in a row.","","2","5","selected-pokemon","","","","","","","",""
"scary-face","normal","status","","100","12","0","Lowers the target’s Speed by two stages.","","","","selected-pokemon","","","","","","","",""
"scorching-sands","ground","special","70","100","12","0","Has a $effect_chance% chance to burn the target.","30","","","selected-pokemon","","","","","","","",""
"scratch","normal","physical","40","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"screech","normal","status","","85","20","0","Lowers the target’s Defense by two stages.","","","","selected-pokemon","","","","","","","",""
"searing-shot","fire","special","100","100","8","0","Has a $effect_chance% chance to burn the target.","30","","","all-other-pokemon","","","","","","","",""
"searing-sunraze-smash","steel","physical","200","","1","0","Cannot be disrupted by abilities.","","","","selected-pokemon","","","","","","","",""
"secret-power","normal","physical","70","100","20","0","Has a $effect_chance% chance to inflict a status effect which depends upon the terrain.","30","","","selected-pokemon","","","","","","","",""
"secret-sword","fighting","special","85","100","12","0","Inflicts damage based on the target’s Defense, not Special Defense.","","","","selected-pokemon","","","","","","","",""
"seed-bomb","grass","physical","80","100","16","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"seed-flare","grass","special","120","85","8","0","Has a $effect_chance% chance to lower the target’s Special Defense by two stages.","40","","","selected-pokemon","","","","","","","",""
"seismic-toss","fighting","physical","","100","20","0","Inflicts damage equal to the user’s level.","","","","selected-pokemon","","","","","","","",""
"self-destruct","normal","physical","200","100","8","0","User faints.","","","","all-other-pokemon","","","","","","","",""
"shadow-ball","ghost","special","80","100","16","0","Has a $effect_chance% chance to lower the target’s Special Defense by one stage.","20","","","selected-pokemon","","","","","","","",""
"shadow-blast","shadow","physical","80","100","null","0","Has an increased chance for a critical hit.","","","","selected-pokemon","","","","","","","",""
"shadow-blitz","shadow","physical","40","100","null","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"shadow-bolt","shadow","special","75","100","null","0","Has a $effect_chance% chance to paralyze the target.","10","","","selected-pokemon","","","","","","","",""
"shadow-bone","ghost","physical","85","100","12","0","Has a $effect_chance% chance to lower the target’s Defense by one stage.","20","","","selected-pokemon","","","","","","","",""
"shadow-break","shadow","physical","75","100","null","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"shadow-chill","shadow","special","75","100","null","0","Has a $effect_chance% chance to freeze the target.","10","","","selected-pokemon","","","","","","","",""
"shadow-claw","ghost","physical","70","100","16","0","Has an increased chance for a critical hit.","","","","selected-pokemon","","","","","","","",""
"shadow-down","shadow","status","","100","null","0","Lowers the target’s Defense by two stages.","","","","opponents-field","","","","","","","",""
"shadow-end","shadow","physical","120","60","null","0","User receives 1/2 its HP in recoil.","","","","selected-pokemon","","","","","","","",""
"shadow-fire","shadow","special","75","100","null","0","Has a $effect_chance% chance to burn the target.","10","","","selected-pokemon","","","","","","","",""
"shadow-force","ghost","physical","120","100","8","0","User vanishes, dodging all attacks, and hits next turn.  Hits through Protect and Detect.","","","","selected-pokemon","","","","","","","",""
"shadow-half","shadow","special","","100","null","0","Halves HP of all Pokémon on the field.  Must recharge","","","","entire-field","","","","","","","",""
"shadow-hold","shadow","status","","","null","0","Prevents the target from leaving battle.","","","","opponents-field","","","","","","","",""
"shadow-mist","shadow","status","","100","null","0","Lowers the target’s evasion by two stages.","","","","opponents-field","","","","","","","",""
"shadow-panic","shadow","status","","90","null","0","Confuses the target.","","","","opponents-field","","","","","","","",""
"shadow-punch","ghost","physical","60","","20","0","Never misses.","","","","selected-pokemon","","","","","","","",""
"shadow-rave","shadow","special","70","100","null","0","Inflicts regular damage with no additional effect.","","","","opponents-field","","","","","","","",""
"shadow-rush","shadow","physical","55","100","null","0","Has an increased chance for a critical hit in Hyper Mode.","","","","selected-pokemon","","","","","","","",""
"shadow-shed","shadow","status","","","null","0","Removes Light Screen, Reflect, and Safeguard.","","","","entire-field","","","","","","","",""
"shadow-sky","shadow","status","","","null","0","Changes the weather to Shadow Sky for five turns.","","","","entire-field","","","","","","","",""
"shadow-sneak","ghost","physical","40","100","20","1","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"shadow-storm","shadow","special","95","100","null","0","Inflicts regular damage with no additional effect.","","","","opponents-field","","","","","","","",""
"shadow-wave","shadow","special","50","100","null","0","Inflicts regular damage with no additional effect.","","","","opponents-field","","","","","","","",""
"sharpen","normal","status","","","20","0","Raises the user’s Attack by one stage.","","","","user","","","","","","","",""
"shattered-psyche--physical","psychic","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"shattered-psyche--special","psychic","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"shed-tail","normal","status","0","","12","0","","","","","user","","","","","","","",""
"sheer-cold","ice","special","","30","8","0","Causes a one-hit KO.","","","","selected-pokemon","","","","","","","",""
"shell-side-arm","poison","special","90","100","12","0","Inflicts regular damage with no additional effect.","20","","","selected-pokemon","","","","","","","",""
"shell-smash","normal","status","","","16","0","Raises user’s Attack, Special Attack, and Speed by two stages.  Lower user’s Defense and Special Defense by one stage.","","","","user","","","","","","","",""
"shell-trap","fire","special","150","100","8","-3","Only inflicts damage if the user was hit by a physical move this turn.","","","","all-opponents","","","","","","","",""
"shelter","steel","status","0","","12","0","","","","","user","","","","","","","",""
"shift-gear","steel","status","","","12","0","Raises the user’s Attack by one stage and its Speed by two stages.","","","","user","","","","","","","",""
"shock-wave","electric","special","60","","20","0","Never misses.","","","","selected-pokemon","","","","","","","",""
